Punt_nr,b1,b2,b3,b4,b5,b7,So_depth,,
1701,9744,10864,11865,15366,17414,13701,900,,
1702,9812,11003,11865,15366,17958,14219,800,,
1703,9744,10864,11865,15234,18503,14737,800,,
1704,9541,10726,11414,15104,17687,13831,900,,
1705,9473,10726,11301,14710,17687,13831,900,,
1706,9608,10726,11301,14579,17505,13960,900,,
1707,9676,11002,11752,15234,17868,14349,100,,
1708,9811,11279,12654,16022,18775,15514,400,,
1709,9608,11002,11752,15366,18593,14607,500,,
1710,9676,10864,11752,15234,18593,14737,700,,
1711,9676,10864,11752,14841,18503,14349,700,,
1712,9540,10725,11414,14710,17232,13442,800,,
1713,9675,10725,11527,14578,18230,14349,900,,
1714,9675,10587,11526,14447,18140,14478,900,,
1715,9742,11002,11865,14841,18322,14349,900,,
1716,9742,10863,11752,15497,17595,13960,700,,
1717,9609,10863,11751,15496,18592,14736,800,,
1718,9540,10863,11638,14971,18229,14606,800,,
1719,9540,10724,11638,14577,17957,14477,900,,
1720,9674,10862,11638,14577,18048,14218,800,,
1721,9607,10724,11525,14577,18411,14477,900,,
1722,9808,11139,12089,15627,18683,14606,900,,
1723,9542,10864,11864,15103,18138,14347,600,,
1724,9542,10863,11864,15365,17957,14218,700,,
1725,9541,10863,11526,15233,18048,13959,800,,
1726,9541,10586,11300,15103,17594,13700,900,,
1727,9675,10724,11526,14840,17866,13959,900,,
1728,9608,10586,11413,14840,17776,13830,900,,
1729,9607,10447,11412,14971,17866,14089,900,,
1730,9943,11139,12203,16021,19046,15512,900,,
1731,9544,10865,11526,15103,17866,14089,700,,
1732,9678,10726,11526,15365,17957,14089,800,,
1733,9611,10864,11752,15627,18048,14089,900,,
1734,9475,10864,11413,15103,17503,13571,900,,
1735,9608,10586,11413,14840,17776,13700,900,,
1736,9472,10724,11300,14971,17322,13571,900,,
1737,9607,10724,11412,14840,17684,13830,900,,
1738,9741,11001,11977,15496,18592,15124,700,,
1739,9614,10727,11527,14709,18138,14218,600,,
1740,9411,10727,11640,14840,18048,14347,400,,
1741,9545,10865,11752,14971,17957,14218,800,,
1742,9612,10865,11865,15365,18138,14347,800,,
1743,9678,10726,11526,15103,17776,13830,900,,
1744,9543,10864,11526,15233,17776,13442,900,,
1745,9677,10725,11639,15103,17866,13959,900,,
1746,9676,10863,11639,14840,17866,13830,900,,
1747,9609,10863,11413,14709,17684,13830,900,,
1748,9675,10863,11751,14577,17776,14218,900,,
1749,9943,11278,12203,15496,18501,14865,900,,
1750,9548,10728,11640,14972,18048,14089,600,,
1751,9548,10866,11527,15103,17957,14218,400,,
1752,9682,10866,11866,14840,19046,14995,200,,
1753,9749,10866,11866,15234,18501,14865,600,,
1754,9615,10727,11753,14709,18229,14606,800,,
1755,9749,11142,11978,15103,18501,14606,800,,
1756,9551,10729,11753,14446,17776,14606,400,,
1757,9483,10590,11415,14053,17685,14218,300,,
1758,9550,10590,11528,14316,17957,14218,700,,
1759,9618,10729,11640,14972,17957,13959,800,,
1760,9550,10590,11415,14972,17685,13830,900,,
1761,9550,10867,11528,14710,18048,13959,900,,
1762,9617,11005,11527,14840,18229,14089,900,,
1763,9549,10867,11527,14578,17866,13959,900,,
1764,9549,10728,11527,14710,17503,13830,900,,
1765,9481,10728,11302,14972,17413,13571,900,,
1766,9616,10451,11414,14578,17957,13959,900,,
1767,9616,10866,11753,14972,18138,14477,500,,
1768,9480,10728,11527,14840,17684,13830,500,,
1769,9480,10589,11527,14184,17776,14089,300,,
1770,9412,10450,11414,14446,17957,14089,700,,
1771,9546,10865,11527,14840,17684,13571,800,,
1772,9613,10588,11414,14709,17413,13830,900,,
1773,9478,10726,11414,14184,18048,14089,900,,
1774,9545,10727,11640,14447,18230,14090,900,,
1775,9679,10866,11753,15104,17958,13960,900,,
